"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","CDSD","CLDD","DP01","DP10","DSND","DSNW","DT00","DT32","DX32","DX70","DX90","EMNT","EMSD","EMSN","EMXP","EMXT","FZF0","FZF1","FZF2","FZF3","FZF4","FZF5","FZF6","FZF7","FZF8","FZF9","HDSD","HTDD","PRCP","SNOW","TAVG","TMAX","TMIN"
"USC00390043","ACADEMY 2 NE, SD US","43.48944","-99.06289","512.4","1900",,,"        73","        41","        3","         2","        20","       153","        36","       165","        55","-26.7","279","279.0","61.5","39.4","-2.2","-2.2","-5.0","-11.1","-11.1","0.0","-4.4","-4.4","-6.7","-9.4",,,"568.0","402.0","10.0","17.4","2.6"
"USC00390043","ACADEMY 2 NE, SD US","43.48944","-99.06289","512.4","1901","596.6","596.6","        94","        56","       18","         5","        20","       155","        41","       151","        45","-30.0","203","152.0","50.0","43.3","0.0","-2.8","-6.7","-6.7","-11.1","0.0","-3.3","-5.6","-7.2","-13.9","3488.5","3488.5","707.5","424.0","9.5","16.4","2.6"
"USC00390043","ACADEMY 2 NE, SD US","43.48944","-99.06289","512.4","1902","323.3","323.3","        82","        54","       62","        17","        28","       157","        54","       142","        24","-28.9","508","114.0","38.4","41.1","-2.2","-2.2","-7.8","-7.8","-10.6","0.0","-2.2","-6.1","-9.4","-9.4","3859.1","3859.1","556.3","1184.0","8.1","14.9","1.4"
"USC00390043","ACADEMY 2 NE, SD US","43.48944","-99.06289","512.4","1903","338.3","338.3","        82","        47","       95","        10","        24","       156","        57","       141","        16","-30.0","457","127.0","34.8","38.3","-2.8","-2.8","-8.3","-8.3","-8.9","-6.7","-6.7","-6.7","-6.7","-8.9","4080.5","4080.5","519.3","646.0","7.9","14.5","1.3"
"USC00390043","ACADEMY 2 NE, SD US","43.48944","-99.06289","512.4","1904","348.3","348.3","        74","        35","       53","         6","        30","       156","        47","       149","        27","-31.1","229","152.0","38.4","40.6","-0.6","-2.8","-6.1","-12.8","-12.8","-0.6","-2.8","-11.7","-11.7","-11.7","4207.4","4207.4","422.0","662.0","8.4","15.5","1.2"
"USC00390043","ACADEMY 2 NE, SD US","43.48944","-99.06289","512.4","1905","379.4","379.4","       100","        61","       48","         9","        29","       149","        55","       136","        26","-37.8","203","152.0","38.4","38.3","-1.7","-3.9","-7.8","-7.8","-13.3","-1.7","-2.8","-5.0","-6.7","-10.0","3839.3","3839.3","630.2","640.0","8.2","14.8","1.7"
"USC00390043","ACADEMY 2 NE, SD US","43.48944","-99.06289","512.4","1906","382.7","382.7","        87","        61","       58","        10","        21","       152","        60","       139","        29","-27.2","584","102.0","71.1","38.3","-1.7","-6.1","-6.1","-9.4","-9.4","-1.1","-2.8","-5.0","-17.8","-17.8","3827.8","3827.8","853.1","1210.0","8.4","14.8","2.0"
"USC00390043","ACADEMY 2 NE, SD US","43.48944","-99.06289","512.4","1907",,,,,"       50","        13",,,,,,,"254","152.0",,,,,,,,,,,,,,,,"919.0",,,
"USC00390043","ACADEMY 2 NE, SD US","43.48944","-99.06289","512.4","1908",,,"        83","        56","       56","        10","        12","       163",,,,"-25.6","203","203.0","49.8",,"-1.7","-5.0","-5.0","-10.0","-10.0","-0.6","-5.6","-5.6","-12.2","-12.2",,,"661.6","872.0",,,"2.5"
"USC00390043","ACADEMY 2 NE, SD US","43.48944","-99.06289","512.4","1909","533.7","533.7","        82","        53","       92","        20","        32","       168","        68","       145","        44","-31.7","406","203.0","52.1","40.0","-2.2","-2.2","-5.6","-10.0","-10.0","-0.6","-5.6","-5.6","-7.2","-9.4","4074.0","4074.0","543.2","1286.0","7.9","14.4","1.4"
