organization_id, org_name, site_id, site_name, latitude, longitude, elevation, measured_on, aerosols:userid,aerosols:measured at,aerosols:solar measured at,aerosols:solar noon at,aerosols:observed sky color,aerosols:observed sky clarity,aerosols:associated remote sensor,aerosols:remote sensor overflight time,aerosols:remote sensor maximum elevation angle (deg),aerosols:aerosol photometer type,aerosols:aerosol photometer serial number,aerosols:aerosol optical thickness at 505nm,aerosols:transmission percent at 505nm,aerosols:wavelength data,aerosols:comments,
175015,London School,30290,London Sanctuary of Bob:ATM-01,27.6892,-97.4785,7,15-02-2002,-1,2002-02-15T18:16:00,2002-02-15T11:29:00,2002-02-15T18:44:00,blue,clear,,,,voltage derived,RG8-197,0.1612,85.11218297,"[(sensor_wavelength_nm: 505, aerosol_optical_thickness: 0.1612, transmission_percent: 85.1); (sensor_wavelength_nm: 625, aerosol_optical_thickness: 0.1078, transmission_percent: 89.9)]",,
244969,Central Florida Preparatory School,20839,CFP Field:ATM-01,28.526,-81.531,76.2,22-02-2005,-1,2005-02-22T14:38:40,2005-02-22T08:56:00,2005-02-22T17:39:00,light blue,clear,,,,voltage derived,RG7-498,0.211,80.97740669,"[(sensor_wavelength_nm: 505, aerosol_optical_thickness: 0.2110, transmission_percent: 81.0); (sensor_wavelength_nm: 625, aerosol_optical_thickness: 0.1485, transmission_percent: 86.2)]",,
244969,Central Florida Preparatory School,20839,CFP Field:ATM-01,28.526,-81.531,76.2,23-02-2005,-1,2005-02-23T14:47:35,2005-02-23T09:05:00,2005-02-23T17:39:00,blue,somewhat hazy,,,,voltage derived,RG7-498,0.9015,40.59602624,"[(sensor_wavelength_nm: 505, aerosol_optical_thickness: 0.9015, transmission_percent: 40.7); (sensor_wavelength_nm: 625, aerosol_optical_thickness: 0.8549, transmission_percent: 43.2)]",,
244969,Central Florida Preparatory School,20839,CFP Field:ATM-01,28.526,-81.531,76.2,06-02-2006,-1,2006-02-06T14:40:09,2006-02-06T08:58:00,2006-02-06T17:40:00,blue,unusually clear,,,,voltage derived,RG7-498,0.0426,95.82946313,"[(sensor_wavelength_nm: 505, aerosol_optical_thickness: 0.0426, transmission_percent: 95.8); (sensor_wavelength_nm: 625, aerosol_optical_thickness: 0.0442, transmission_percent: 95.7)]",,
244969,Central Florida Preparatory School,20839,CFP Field:ATM-01,28.526,-81.531,76.2,07-02-2006,-1,2006-02-07T14:32:23,2006-02-07T08:50:00,2006-02-07T17:40:00,light blue,unusually clear,,,,voltage derived,RG7-498,0.0839,91.95232038,"[(sensor_wavelength_nm: 505, aerosol_optical_thickness: 0.0839, transmission_percent: 92.0); (sensor_wavelength_nm: 625, aerosol_optical_thickness: 0.0765, transmission_percent: 92.6)]",,
244969,Central Florida Preparatory School,20839,CFP Field:ATM-01,28.526,-81.531,76.2,08-02-2006,-1,2006-02-08T13:50:01,2006-02-08T08:07:00,2006-02-08T17:40:00,light blue,clear,,,,voltage derived,RG7-498,0.0516,94.97086743,"[(sensor_wavelength_nm: 505, aerosol_optical_thickness: 0.0516, transmission_percent: 95.0); (sensor_wavelength_nm: 625, aerosol_optical_thickness: 0.0589, transmission_percent: 94.3)]",,
244969,Central Florida Preparatory School,20839,CFP Field:ATM-01,28.526,-81.531,76.2,09-02-2006,-1,2006-02-09T14:26:36,2006-02-09T08:44:00,2006-02-09T17:40:00,light blue,clear,,,,voltage derived,RG7-498,0.061,94.08232398,"[(sensor_wavelength_nm: 505, aerosol_optical_thickness: 0.0610, transmission_percent: 94.1); (sensor_wavelength_nm: 625, aerosol_optical_thickness: 0.0706, transmission_percent: 93.2)]",,
244969,Central Florida Preparatory School,20839,CFP Field:ATM-01,28.526,-81.531,76.2,10-02-2006,-1,2006-02-10T14:34:05,2006-02-10T08:51:00,2006-02-10T17:40:00,light blue,clear,,,,voltage derived,RG7-498,0.1504,86.03637621,"[(sensor_wavelength_nm: 505, aerosol_optical_thickness: 0.1504, transmission_percent: 86.0); (sensor_wavelength_nm: 625, aerosol_optical_thickness: 0.1465, transmission_percent: 86.4)]",MORE CLOUDS ARE IN THE SKY.,
244969,Central Florida Preparatory School,20839,CFP Field:ATM-01,28.526,-81.531,76.2,14-02-2006,-1,2006-02-14T14:35:05,2006-02-14T08:52:00,2006-02-14T17:40:00,blue,clear,,,,voltage derived,RG7-498,0.0633,93.86618329,"[(sensor_wavelength_nm: 505, aerosol_optical_thickness: 0.0633, transmission_percent: 93.9); (sensor_wavelength_nm: 625, aerosol_optical_thickness: 0.0776, transmission_percent: 92.6)]",,
244969,Central Florida Preparatory School,20839,CFP Field:ATM-01,28.526,-81.531,76.2,15-02-2006,-1,2006-02-15T14:25:05,2006-02-15T08:42:00,2006-02-15T17:40:00,blue,clear,,,,voltage derived,RG7-498,0.0874,91.63104981,"[(sensor_wavelength_nm: 505, aerosol_optical_thickness: 0.0874, transmission_percent: 91.6); (sensor_wavelength_nm: 625, aerosol_optical_thickness: 0.0797, transmission_percent: 92.3)]",,
244969,Central Florida Preparatory School,20839,CFP Field:ATM-01,28.526,-81.531,76.2,16-02-2006,-1,2006-02-16T14:35:26,2006-02-16T08:53:00,2006-02-16T17:40:00,blue,clear,,,,voltage derived,RG7-498,0.1773,83.75284883,"[(sensor_wavelength_nm: 505, aerosol_optical_thickness: 0.1773, transmission_percent: 84.3); (sensor_wavelength_nm: 625, aerosol_optical_thickness: 0.1016, transmission_percent: 90.3)]",,
244969,Central Florida Preparatory School,20839,CFP Field:ATM-01,28.526,-81.531,76.2,17-02-2006,-1,2006-02-17T14:35:20,2006-02-17T08:53:00,2006-02-17T17:40:00,blue,clear,,,,voltage derived,RG7-498,0.2626,76.90494556,"[(sensor_wavelength_nm: 505, aerosol_optical_thickness: 0.2626, transmission_percent: 76.9); (sensor_wavelength_nm: 625, aerosol_optical_thickness: 0.1930, transmission_percent: 82.5)]",,
