"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","CDSD","CLDD","DP01","DP10","DSND","DSNW","DT00","DT32","DX32","DX70","DX90","EMNT","EMSD","EMSN","EMXP","EMXT","EVAP","FZF0","FZF1","FZF2","FZF3","FZF4","FZF5","FZF6","FZF7","FZF8","FZF9","HDSD","HN01","HTDD","HX01","LN01","LX01","MN01","MNPN","MX01","MXPN","PRCP","PSUN","SNOW","TAVG","TMAX","TMIN","TSUN","WDF1","WDF2","WDF5","WDFG","WDMV","WSF1","WSF2","WSF5","WSFG"
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","32.89943","-80.04075","12.2","1950",,"1176.0","1176.0","       115","        83","        0","         0","         0","        30","         0","       267","        36","-9.4","0","0.0","72.1","37.2",,"-9.4","-9.4","-9.4","-9.4","-9.4","-0.6","-2.8",,,,"928.7",,"928.7",,,,,,,,"1237.4",,"0.0","18.5","24.4","12.6",,,,,,,,,,
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","32.89943","-80.04075","12.2","1951",,"1139.4","1139.4","       105","        69","        0","         0","         0","        35","         0","       259","        57","-7.2","0","0.0","51.1","36.7",,"0.0","-2.2","-4.4",,,"0.0","-2.2","-5.0","-7.2",,"1301.9",,"1301.9",,,,,,,,"865.3",,"0.0","18.3","24.3","12.3",,,,,,,,,,
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","32.89943","-80.04075","12.2","1952",,"1208.8","1208.8","       116","        80","        0","         0","         0","        22","         0","       254","        63","-7.8","0","0.0","89.4","38.3",,"0.0","-2.8","-5.6",,,"0.0","-3.3","-7.8","-7.8",,"1006.0",,"1006.0",,,,,,,,"1202.6",,"0.0","18.6","24.6","12.6",,,,,,,,,,
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","32.89943","-80.04075","12.2","1953",,"1194.5","1194.5","       119","        68","        0","         0","         0","        23","         0","       260","        47","-8.9","0","0.0","66.3","36.7",,"0.0","-2.8","-4.4","-6.7","-8.9","-1.1","-2.8",,,,"1093.7",,"1093.7",,,,,,,,"1208.5",,"0.0","18.7","24.6","12.9",,,,,,,,,,
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","32.89943","-80.04075","12.2","1954",,"1266.5","1266.5","        81","        41","        0","         0","         0","        40","         0","       259","        75","-6.7","0","0.0","98.8","38.9",,"0.0","-2.8","-6.7","-6.7",,"-2.2","-2.2","-5.0",,,"1088.1",,"1088.1",,,,,,,,"770.3",,"0.0","18.6","25.0","12.2",,,,,,,,,,
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","32.89943","-80.04075","12.2","1955",,"1147.8","1147.8","       100","        60","        0","         0","         0","        35","         0","       262","        32","-7.8","0","0.0","46.2","35.6",,"0.0","-2.8","-4.4","-7.2",,"-0.6","-3.3","-5.0",,,"1181.9",,"1181.9",,,,,,,,"917.7",,"0.0","18.2","24.1","12.3",,,,,,,,,,
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","32.89943","-80.04075","12.2","1956",,"1079.0","1079.0","        94","        73","        0","         0","         0","        33","         0","       249","        40","-4.4","0","0.0","98.0","36.1",,"-0.6","-2.8",,,,"-2.8","-2.8","-4.4",,,"1259.2",,"1259.2",,,,,,,,"1263.7",,"0.0","18.3","24.2","12.4",,,,,,,,,,
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","32.89943","-80.04075","12.2","1957",,"1085.3","1085.3","       119","        95","        0","         0","         0","        23","         0","       253","        33","-9.4","0","0.0","84.1","36.7",,"0.0","-2.2","-4.4","-7.8","-9.4","-1.1","-2.8","-8.3","-8.3",,"1018.2",,"1018.2",,,,,,,,"1545.9",,"0.0","18.3","23.9","12.6",,,,,,,,,,
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","32.89943","-80.04075","12.2","1958",,"1104.8","1104.8","       116","        92","        0","         0","         0","        49","         1","       221","        43","-10.0","0","3.0","106.7","35.6",,"0.0","-3.3","-7.2","-7.2",,"0.0","-5.6","-5.6","-6.7","-10.0","1464.3",,"1464.3",,,,,,,,"1833.4",,"3.0","17.2","22.7","11.7",,,,,,,,,,
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","32.89943","-80.04075","12.2","1959",,"1080.6","1080.6","       133","       100","        0","         0","         0","        27","         0","       239","        20","-8.3","0","0.0","113.8","37.2",,"-1.7","-5.6","-5.6",,,"-0.6","-5.0","-5.0","-7.2",,"1240.4",,"1240.4",,,,,,,,"1705.9",,"0.0","18.0","23.4","12.6",,,,,,,,,,
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","32.89943","-80.04075","12.2","1960",,"1182.0","1182.0","       113","        76","        0","         0","         0","        56","         0","       241","        50","-8.3","0","13.0","114.6","36.1",,"-1.7","-2.8","-8.3","-8.3",,"-1.1","-4.4","-4.4","-6.7",,"1354.9",,"1354.9",,,,,,,,"1332.1",,"13.0","17.6","23.6","11.6",,,,,"       315",,,,,"23.1"
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","32.89943","-80.04075","12.2","1961",,"1113.5","1113.5","       115","        81","        0","         0","         0","        44","         0","       256","        47","-7.8","0","0.0","88.4","35.0","1509.6","0.0","-2.2","-5.0",,,"-0.6","-3.9","-5.0","-7.8",,"1281.4",,"1281.4",,,,,,,,"1271.3",,"0.0","18.1","24.1","12.1",,,,,"       180","36248.0",,,,"22.6"
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","32.89943","-80.04075","12.2","1962",,"1178.7","1178.7","       119","        89","        0","         0","         0","        39","         2","       238","        43","-13.3","0","0.0","116.8","36.1",,"0.0","-2.2","-10.0","-10.0","-10.0","0.0","-2.8","-8.9","-8.9","-8.9","1203.8",,"1203.8",,,,,,,,"1553.8",,"0.0","17.9","23.8","11.9",,,,,"       225","37095.0",,,,"24.7"
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","32.89943","-80.04075","12.2","1963",,"1180.5","1180.5","       114","        77","        0","         0","         0","        48","         0","       249","        63","-8.9","0","5.0","132.1","36.7","3122.0","-1.7","-2.8","-6.7","-6.7",,"-4.4","-4.4","-4.4","-8.9","-8.9","1386.6",,"1386.6",,,,,,,,"1396.7",,"8.0","17.9","24.0","11.8",,,,,"       225","37161.0",,,,"26.7"
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","32.89943","-80.04075","12.2","1964",,"1158.9","1158.9","       128","        87","        0","         0","         0","        30","         0","       247","        46","-7.8","0","0.0","125.2","36.1","1412.4","0.0","-4.4","-4.4",,,"-2.8","-2.8","-6.1","-7.8",,"1262.9",,"1262.9",,,,,"13.9",,"25.0","1854.6",,"0.0","18.4","24.2","12.6",,,,,"       270",,,,,"24.2"
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","32.89943","-80.04075","12.2","1965",,"1171.3","1171.3","       127","        90","        0","         0","         0","        38","         0","       248","        39","-6.1","0","0.0","88.9","34.4","1516.1","-1.7","-3.9","-4.4",,,"-2.2","-2.2","-4.4",,,"1136.9",,"1136.9",,,,,,,,"1368.6","      54.7","0.0","18.2","24.0","12.4","   146916",,,,"       180",,,,,"24.2"
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","32.89943","-80.04075","12.2","1966",,"1070.1","1070.1","       111","        76","        1","         0","         0","        46","         0","       249","        37","-11.7","25","20.0","116.3","36.1","1503.8","-2.8","-2.8","-4.4",,,"-1.1","-2.2","-5.6","-7.2","-9.4","1329.3",,"1329.3",,,,,"13.3",,"24.9","1361.9","      59.0","20.0","17.5","23.4","11.7","   158448",,,,"       315","35146.0",,,,"26.2"
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","32.89943","-80.04075","12.2","1967",,"1025.1","1025.1","       105","        71","        0","         0","         0","        40","         0","       267","        56","-10.0","0","0.0","158.2","36.1",,"-0.6","-4.4","-4.4",,,"-1.1","-2.8","-5.6","-10.0","-10.0","1139.2",,"1139.2",,,,,"13.3",,"24.8","1109.5","      61.5","0.0","17.9","24.4","11.6","   163770",,,,"       360",,,,,"26.7"
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","32.89943","-80.04075","12.2","1968",,"1214.2","1214.2","       106","        66","        1","         1","         0","        68","         0","       240","        55","-7.8","25","33.0","67.8","37.2",,"-0.6","-3.3","-5.6",,,"-0.6","-3.3","-5.0","-7.8",,"1432.4",,"1432.4",,,,,,,,"1165.1","      59.6","46.0","17.5","23.6","11.3","   159432",,,,"       360",,,,,"30.8"
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","32.89943","-80.04075","12.2","1969",,"1116.8","1116.8","       111","        69","        0","         1","         0","        56","         0","       227","        43","-6.7","0","51.0","133.1","36.7","1520.4","-2.8","-2.8","-5.6",,,"0.0","-2.2","-6.1","-6.7",,"1521.0",,"1521.0",,,,,"13.9",,"24.5","1324.2","      59.9","51.0","17.2","22.8","11.6","   160362",,,,"       360","38003.0",,,,"23.1"
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","32.89943","-80.04075","12.2","1970",,"1281.3","1281.3","       115","        67","        0","         0","         0","        44","         3","       249","        69","-11.7","0","0.0","76.2","37.8",,"-0.6","-6.1","-6.1","-8.9","-8.9","-0.6","-3.3","-5.0","-8.3","-11.1","1411.6",,"1411.6",,,,,,,,"1167.3","      65.7","0.0","18.2","24.2","12.2","   174456",,,,"       180",,,,,"19.5"
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","32.89943","-80.04075","12.2","1971",,"1267.7","1267.7","       124","        88","        0","         0","         0","        28","         0","       264","        46","-5.6","0","0.0","86.6","36.1",,"-2.2","-2.2",,,,"0.0","-2.8","-5.6",,,"1250.0",,"1250.0",,,,,,,"24.9","1538.1","      66.5","0.0","18.8","24.5","13.0","   178452",,,,"       315","35157.0",,,,"31.9"
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","32.89943","-80.04075","12.2","1972",,"1094.6","1094.6","       100","        71","        0","         0","         0","        20","         0","       268","        50","-8.3","0","0.0","80.0","36.1","1629.8","0.0","-4.4","-4.4","-6.7",,"-1.1","-2.2","-4.4","-8.3",,"935.5",,"935.5",,,,,"14.7",,"25.8","1089.4",,"0.0","18.6","24.5","12.6",,,,,"       225","35988.0",,,,"25.2"
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","32.89943","-80.04075","12.2","1973",,"1353.9","1353.9","       114","        85","        4","         2","         0","        36","         1","       254","        60","-11.1","178","137.0","238.8","36.1",,"0.0","-2.2","-6.1",,,"-0.6","-3.3","-5.0","-11.1","-11.1","1116.4",,"1116.4",,,,,"15.1",,"26.2","1833.7","      65.0","180.0","18.9","24.6","13.2","   174750",,,,"       270","35862.0",,,,"26.2"
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","32.89943","-80.04075","12.2","1974",,"1108.9","1108.9","       114","        80","        0","         0","         0","        21","         0","       266","        26","-5.0","0","0.0","119.1","36.1",,"-1.1","-2.8",,,,"0.0","-5.0","-5.0",,,"792.0",,"792.0",,,,,"13.5",,"24.8","1388.1","      70.5","0.0","18.8","24.6","12.9","   188622",,,,"       270","35049.0",,,,"23.1"
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","32.89943","-80.04075","12.2","1975",,"1306.8","1306.8","       134","        93","        0","         0","         0","        24","         0","       267","        48","-6.1","0","0.0","69.6","35.6",,"-1.7","-2.2","-6.1",,,"-3.9","-3.9",,,,"1099.9",,"1099.9",,,,,"14.8",,"25.3","1428.4","      66.8","0.0","19.1","24.7","13.5","   180120",,,,"       225","32585.0",,,,"24.7"
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","32.89943","-80.04075","12.2","1976",,"1023.3","1023.3","       103","        69","        0","         0","         0","        40","         0","       248","        26","-8.9","0","10.0","123.4","35.0",,"0.0","-2.8","-4.4","-6.7",,"0.0","-3.3","-8.3","-8.3","-8.9","1063.1",,"1063.1",,,,,,,,"1232.3","      71.5","10.0","17.7","23.7","11.7","   192186","       290",,,"       270",,"16.5",,,"23.6"
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","32.89943","-80.04075","12.2","1977",,"1406.6","1406.6","       105","        65","        0","         0","         0","        53","         1","       257","        78","-8.3","0","15.0","59.9","38.3",,"-0.6","-2.8","-4.4",,,"0.0","-2.8","-5.0","-8.3",,"1501.5",,"1501.5",,,,,,,,"1047.6","      75.8","33.0","18.5","24.5","12.6","   204462","       280",,,"       180",,"14.3",,,"25.2"
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","32.89943","-80.04075","12.2","1978",,"1261.7","1261.7","        96","        69","        0","         0","         0","        51","         0","       260","        52","-7.2","0","10.0","86.4","37.2",,"0.0","-3.3","-4.4",,,"0.0","-2.2","-5.0","-7.2",,"1357.6",,"1357.6",,,,,,,"26.1","1039.1","      70.7","10.0","18.3","24.1","12.5","   192246","       200",,,"       180","32017.0","17.9",,,"29.8"
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","32.89943","-80.04075","12.2","1979",,"1197.1","1197.1","       117","        78","        2","         1","         0","        42","         1","       254","        53","-6.7","25","41.0","153.9","36.7",,"-1.7","-3.9","-4.4",,,"0.0","-3.9","-6.1","-6.7",,"1109.1",,"1109.1",,,,,,,,"1473.0","      71.8","47.0","18.2","24.0","12.3","   193056","       110",,,"       135",,"17.0",,,"25.2"
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","32.89943","-80.04075","12.2","1980",,"1275.9","1275.9","       102","        75","        2","         2","         0","        41","         1","       238","        80","-9.4","102","94.0","116.1","37.8",,"0.0","-2.8","-4.4",,,"-6.1","-6.1","-6.1","-9.4","-9.4","1270.9",,"1270.9",,,,,,,"24.7","1039.6","      65.3","130.0","18.1","23.8","12.4","   178158","       270",,,"       315","31354.0","15.6",,,"27.8"
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","32.89943","-80.04075","12.2","1981",,"1269.9","1269.9","        92","        69","        0","         0","         0","        50","         1","       242","        73","-10.6","0","0.0","136.9","38.3",,"-2.8","-2.8","-5.0","-7.8","-10.0","-1.7","-3.3","-4.4","-10.6","-10.6","1368.4",,"1368.4",,,,,,,,"1256.2","      71.5","0.0","17.9","24.1","11.8","   191250","        30",,,"        45",,"17.9",,,"25.2"
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","32.89943","-80.04075","12.2","1982",,"1191.2","1191.2","       120","        79","        0","         0","         0","        26","         1","       262","        38","-12.2","0","0.0","93.5","35.6",,"-1.7",,,,,"0.0","-4.4","-4.4","-8.9","-8.9","1296.9",,"1296.9",,,,,,,,"1194.8",,"0.0","18.7","23.9","13.4",,"        30",,,,,"15.6",,,
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","32.89943","-80.04075","12.2","1983",,"1214.0","1214.0","       104","        75","        0","         0","         0","        20","         1","       232","        53","-11.7","0","0.0","82.8","37.8",,"-1.1","-7.8","-7.8","-7.8","-11.7","-0.6","-5.0","-5.0",,,"1124.2",,"1124.2",,,,,,,"24.7","1374.4","      54.9","0.0","18.2","23.3","13.1","   147396","        90",,,"        90","49656.0","16.1",,,"27.2"
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","32.89943","-80.04075","12.2","1984","3.5","1200.8","1200.8","       104","        74","        0","         0","         0","        23","         0","       252","        43","-6.1","0","0.0","44.7","37.2",,"0.0","-5.0","-5.0",,,"0.0","-2.8","-6.1",,,"1150.0",,"1150.0",,,,,"13.5",,"25.6","1174.8",,"0.0","18.7","24.1","13.3","   170853","       310",,,"       270","46357.0","16.5",,,"22.1"
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","32.89943","-80.04075","12.2","1985","3.9","1423.4","1423.4","       111","        71","        0","         0","         0","        35","         1","       266","        57","-14.4","0","0.0","106.7","37.8",,"-0.6","-2.8","-4.4","-7.8",,"-2.2","-2.2","-6.7","-6.7","-10.0","1102.0",,"1102.0",,,,,,,,"1279.6",,"0.0","19.2","24.6","13.8","   176259","       150",,,"       135",,"16.5",,,"21.6"
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","32.89943","-80.04075","12.2","1986","3.8","1506.3","1506.3","       101","        64","        0","         0","         0","        20","         0","       260","        83","-11.1","0","13.0","97.0","40.0",,"0.0",,,,,"-1.7","-2.8","-11.1","-11.1","-11.1","1001.8",,"1001.8",,,,,,,,"1230.6",,"13.0","19.7","25.2","14.3","   158131","       330",,,"       360",,"16.5",,,"28.8"
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","32.89943","-80.04075","12.2","1987","3.8","1322.5","1322.5","       105","        82","        0","         0","         0","        23","         0","       237","        72","-2.8","0","0.0","152.4","37.2",,"-1.1",,,,,"-0.6","-2.8",,,,"1114.3",,"1114.3",,,,,,,,"1440.5",,"0.0","18.7","24.2","13.2","   136646","       320",,,"       180",,"13.9",,,"23.6"
