gbifID,scientificName,decimalLatitude,decimalLongitude,day,month,year,rain,temp,soil_temp,optical_thickness,transmission_percent
2862562747,"Ursus arctos Linnaeus, 1758",63.646914,-149.069531,23,8,2018,0,21.5,20,0.44256807,64.23846126
2862538159,"Ursus arctos Linnaeus, 1758",60.304133,-152.743698,24,7,2014,12.1,20.4,25.4,0.1545,85.68434921
2862373744,"Ursus arctos Linnaeus, 1758",63.747772,-149.222787,23,8,2018,0,21.5,20,0.44256807,64.23846126
2862347565,"Ursus arctos horribilis Ord, 1815",44.942036,-110.444701,17,7,2010,74.2,19.4,19,0.1385,87.06632513
2862346787,"Ursus arctos Linnaeus, 1758",63.736216,-149.144769,23,8,2018,0,21.5,20,0.44256807,64.23846126
2862344660,"Ursus arctos Linnaeus, 1758",59.336145,-135.56206,19,8,2018,0,21.5,20,0.44256807,64.23846126
2862329649,"Ursus arctos horribilis Ord, 1815",44.621872,-110.575479,14,9,2007,110,20.8,20.6,0.0761,92.67235296
2862328659,"Ursus arctos Linnaeus, 1758",59.330077,-135.558657,19,8,2018,0,21.5,20,0.44256807,64.23846126
2862326639,"Ursus arctos horribilis Ord, 1815",63.02977,-151.114842,12,6,2019,20.5,16.7,16.6,0.053800142,94.76214775
2862313758,"Ursus arctos Linnaeus, 1758",63.711445,-149.213115,23,8,2018,0,21.5,20,0.44256807,64.23846126
2862299525,"Ursus arctos horribilis Ord, 1815",44.985227,-110.58302,18,7,2010,74.2,19.4,19,0.1385,87.06632513
2862297553,"Ursus arctos horribilis Ord, 1815",44.437567,-110.213495,24,7,2010,74.2,19.4,19,0.1385,87.06632513
2860173466,"Ursus arctos horribilis Ord, 1815",48.457257,-114.139831,16,7,2020,2.3,20,19,0.077270456,92.56394745
2860129548,"Ursus arctos horribilis Ord, 1815",48.697943,-113.694799,5,9,2019,33.3,17.1,24.3,0.160055485,85.20965091
2856727451,"Ursus arctos Linnaeus, 1758",58.619777,-155.061035,8,7,2019,7.3,17.6,27.5,0.119081431,88.77355089
2856717156,"Ursus arctos Linnaeus, 1758",63.723597,-149.371095,29,8,2018,0,21.5,20,0.44256807,64.23846126
2856569194,"Ursus arctos Linnaeus, 1758",63.45188,-150.244112,29,8,2018,0,21.5,20,0.44256807,64.23846126
2851323664,"Ursus arctos Linnaeus, 1758",59.534275,-159.704118,4,7,2020,2.3,14.7,19,0.077270456,92.56394745
2850975550,"Ursus arctos Linnaeus, 1758",67.29026,-142.93932,22,9,2016,0,8.7,8.6,-0.2556,101
2850950946,"Ursus arctos Linnaeus, 1758",57.749356,-133.508084,8,7,2010,74.2,18.1,19,0.1385,87.06632513
2850921410,"Ursus arctos horribilis Ord, 1815",48.869675,-113.671023,2,9,2019,33.3,17.1,24.3,0.160055485,85.20965091
2850857523,"Ursus arctos horribilis Ord, 1815",58.44601,-155.779123,23,7,2019,7.3,17.6,27.5,0.119081431,88.77355089
2850782043,"Ursus arctos horribilis Ord, 1815",44.735758,-110.567615,1,9,2018,22.6,19.6,21.8,0.070307175,93.21074562
2850773525,"Ursus arctos horribilis Ord, 1815",58.746918,-136.13854,17,7,2019,7.3,17.6,27.5,0.119081431,88.77355089
2850740049,"Ursus arctos horribilis Ord, 1815",44.923511,-110.248286,3,9,2018,22.6,19.6,21.8,0.070307175,93.21074562
2850717055,"Ursus arctos horribilis Ord, 1815",48.886064,-113.75653,26,8,2019,7.5,20.2,20.2,0.106743575,89.87561072
2850712334,"Ursus arctos horribilis Ord, 1815",48.714039,-113.581174,16,9,2019,33.3,17.1,24.3,0.160055485,85.20965091
2850703987,"Ursus arctos horribilis Ord, 1815",43.705516,-110.627413,10,6,2020,43.7,21.1,16.9,0.077960419,92.50010382
2850680710,"Ursus arctos horribilis Ord, 1815",44.011105,-110.679358,2,6,2014,9.9,16.3,23.7,0.3443,70.87162813
2850664997,"Ursus arctos horribilis Ord, 1815",48.945864,-113.646166,27,8,2019,7.5,20.2,20.2,0.106743575,89.87561072
2850654915,"Ursus arctos horribilis Ord, 1815",44.521823,-110.49862,5,6,2019,42.8,16.6,16.6,0.053800142,94.76214775
2850591248,"Ursus arctos horribilis Ord, 1815",48.741747,-113.530532,16,9,2019,33.3,17.1,24.3,0.160055485,85.20965091
2850579676,"Ursus arctos Linnaeus, 1758",58.555377,-155.791516,28,6,2020,38.7,13.8,16.9,0.077960419,92.50010382
2845569622,"Ursus arctos horribilis Ord, 1815",44.683599,-110.494011,15,8,2019,5.6,20.2,20.2,0.106743575,89.87561072
2845311431,"Ursus arctos horribilis Ord, 1815",44.883568,-110.239942,12,9,2019,37.1,19.9,27.1,0.160055485,85.20965091
