gbifID,scientificName,decimalLatitude,decimalLongitude,day,month,year,rain,temp,soil_temp,optical_thickness,transmission_percent
2862426350,"Sceloporus undulatus (Bosc & Daudin, 1801)",38.847328,-78.307694,15,4,2017,56,16.1,14.9,0.20560433,81.41551493
2862392396,"Sceloporus undulatus (Bosc & Daudin, 1801)",36.608769,-82.42225,30,4,2019,107.4,15.6,13.9,0.160821488,85.14440503
2862373573,"Sceloporus undulatus (Bosc & Daudin, 1801)",33.758936,-86.567834,3,9,2018,52.5,21,21.8,0.138860684,87.03492735
2860166255,"Sceloporus undulatus hyacinthinus (Green, 1818)",41.429188,-73.958992,9,6,2018,51.4,20.4,20.3,0.0492,95.19907125
2860149321,"Sceloporus undulatus (Bosc & Daudin, 1801)",36.802248,-76.518656,10,11,2018,148.1,8.4,9.4,0.048407444,95.27455178
2860127012,"Sceloporus undulatus (Bosc & Daudin, 1801)",35.115147,-83.101891,9,5,2020,133.3,17.7,17.8,0.208329792,81.19392212
2860106162,"Sceloporus undulatus (Bosc & Daudin, 1801)",32.309668,-84.741187,3,11,2018,14.4,7.2,8.4,0.048407444,95.27455178
2859948722,"Sceloporus undulatus (Bosc & Daudin, 1801)",30.338989,-82.692411,4,4,2015,94.8,27,12.5,0.0528,94.85697075
2859943387,"Sceloporus undulatus (Bosc & Daudin, 1801)",39.358844,-86.569395,22,9,2019,53,22.2,24.3,0.136230965,87.26410594
2856855470,"Sceloporus undulatus (Bosc & Daudin, 1801)",35.448019,-82.621211,14,4,2020,109.4,16,13.5,0.158196756,85.36817987
2856823336,"Sceloporus undulatus (Bosc & Daudin, 1801)",38.987564,-77.243962,16,6,2020,119.6,23.8,24.1,0.466126891,62.74276641
2856800365,"Sceloporus undulatus (Bosc & Daudin, 1801)",38.986836,-77.245498,16,6,2020,119.6,23.8,24.1,0.466126891,62.74276641
2856793319,"Sceloporus undulatus (Bosc & Daudin, 1801)",32.549539,-85.478559,23,7,2020,36.5,25.1,27,0.122710005,88.45201318
2856788373,"Sceloporus undulatus (Bosc & Daudin, 1801)",38.986263,-77.241898,16,6,2020,119.6,23.8,24.1,0.466126891,62.74276641
2856750030,"Sceloporus undulatus (Bosc & Daudin, 1801)",30.39653,-83.166519,1,10,2019,26.4,23.7,16.9,0.025661534,97.46649247
2856734849,"Sceloporus undulatus (Bosc & Daudin, 1801)",30.352716,-87.176703,20,4,2017,135.2,18.4,18.3,0.302773902,73.87661111
2856727394,"Sceloporus undulatus (Bosc & Daudin, 1801)",33.258025,-87.546336,27,5,2020,133.3,17.7,17.8,0.103980157,90.12431805
2856591386,"Sceloporus undulatus (Bosc & Daudin, 1801)",38.986836,-77.245498,16,6,2020,119.6,23.8,24.1,0.466126891,62.74276641
2856568267,"Sceloporus undulatus (Bosc & Daudin, 1801)",38.947784,-78.304906,13,7,2019,68.7,26,23.5,0.20428504,81.52299648
2856502973,"Sceloporus undulatus (Bosc & Daudin, 1801)",29.075364,-82.384462,18,12,2019,48.8,14.1,6,0.06281882,93.91136072
2856475131,"Sceloporus undulatus (Bosc & Daudin, 1801)",38.784114,-75.098011,3,7,2020,167.6,26.4,27,0.122710005,88.45201318
2851225703,"Sceloporus undulatus (Bosc & Daudin, 1801)",35.494628,-82.613862,31,7,2020,36.5,25.1,27,0.122710005,88.45201318
2851193614,"Sceloporus undulatus (Bosc & Daudin, 1801)",35.3501,-80.2001,24,7,2020,36.5,28.7,27,0.122710005,88.45201318
2851129409,"Sceloporus undulatus (Bosc & Daudin, 1801)",35.4944,-82.61439,25,7,2020,36.5,25.1,27,0.122710005,88.45201318
2851102854,"Sceloporus undulatus (Bosc & Daudin, 1801)",34.582469,-85.987454,3,2,2019,101,6.3,7.3,0.056619919,94.49531601
2851091314,"Sceloporus undulatus (Bosc & Daudin, 1801)",33.624378,-82.110594,4,2,2020,168.3,8.8,6.4,0.061483335,94.03686168
2851005341,"Sceloporus undulatus (Bosc & Daudin, 1801)",36.084481,-86.899445,16,7,2018,70.7,23.6,22.8,0.145679827,86.44344271
2850981329,"Sceloporus undulatus (Bosc & Daudin, 1801)",36.085778,-86.90097,19,5,2018,96.8,22.4,18.1,0.138509347,87.06551128
2850974564,"Sceloporus undulatus (Bosc & Daudin, 1801)",30.127786,-81.545822,24,5,2020,10.2,23.1,17.8,0.208329792,81.19392212
2850972062,"Sceloporus undulatus (Bosc & Daudin, 1801)",35.5365,-82.6929,17,7,2020,36.5,25.1,27,0.122710005,88.45201318
2850962343,"Sceloporus undulatus (Bosc & Daudin, 1801)",36.17172,-86.925479,10,6,2018,182.5,24.3,20.3,0.068393404,93.38930038
2850931449,"Sceloporus undulatus (Bosc & Daudin, 1801)",37.528637,-88.975813,17,9,2019,6.1,25.2,24.3,0.202547533,81.66476643
