gbifID,scientificName,decimalLatitude,decimalLongitude,day,month,year
2862662347,"Canis latrans Say, 1823",34.69963,-119.241698,9,9,2020
2862658329,"Canis latrans Say, 1823",25.965225,-97.257489,12,8,2019
2862652416,"Canis latrans Say, 1823",43.083987,-89.294833,7,9,2020
2862630361,"Canis latrans Say, 1823",32.710595,-99.730371,13,11,2019
2862630337,"Canis latrans Say, 1823",32.87276,-96.739678,9,9,2020
2862625324,"Canis latrans Say, 1823",37.949792,-121.917237,22,2,2019
2862571831,"Canis latrans Say, 1823",49.001145,-122.575517,12,8,2018
2862569038,"Canis latrans Say, 1823",35.976713,-112.125222,6,9,2020
2862568781,"Canis latrans Say, 1823",41.987148,-87.688472,24,8,2020
2862568608,"Canis latrans Say, 1823",33.14274,-116.849391,31,8,2020
2862561916,"Canis latrans Say, 1823",30.586545,-97.692273,6,9,2020
2862559617,"Canis latrans Say, 1823",33.189066,-116.319656,2,9,2020
2862554747,"Canis latrans Say, 1823",33.189152,-116.320085,5,9,2020
2862554670,"Canis latrans Say, 1823",34.178231,-118.506592,9,6,2019
2862554618,"Canis latrans Say, 1823",33.188923,-116.319913,4,9,2020
2862553257,"Canis latrans Say, 1823",33.312641,-96.729564,6,9,2020
2862551588,"Canis latrans Say, 1823",33.138154,-116.851932,31,8,2020
2862544669,"Canis latrans Say, 1823",37.745442,-122.451036,3,9,2020
2862535716,"Canis latrans Say, 1823",34.161509,-118.138823,4,9,2020
2862533594,"Canis latrans Say, 1823",33.19,-116.32,3,9,2020
2862532136,"Canis latrans Say, 1823",34.086545,-118.24227,7,9,2020
2862528841,"Canis latrans Say, 1823",34.039639,-117.29397,5,9,2020
2862523987,"Canis latrans Say, 1823",37.767429,-122.499603,6,9,2020
2862521622,"Canis latrans Say, 1823",37.865101,-119.538329,2,7,2012
2862519525,"Canis latrans Say, 1823",41.30236,-73.050948,30,7,2020
2862518691,"Canis latrans Say, 1823",44.647629,-110.483404,14,9,2007
2862517851,"Canis latrans Say, 1823",33.863178,-117.756395,5,9,2020
2862514992,"Canis latrans Say, 1823",34.194137,-118.317077,2,9,2020
2862514287,"Canis latrans Say, 1823",41.064788,-112.137666,5,9,2020
2862512573,"Canis latrans Say, 1823",26.692752,-81.866287,21,8,2006
2862511342,"Canis latrans Say, 1823",48.938994,-101.415414,9,9,2020
2862505290,"Canis latrans Say, 1823",32.303498,-96.635233,8,9,2020
2862502125,"Canis latrans Say, 1823",42.274899,-122.939475,21,7,2020
2862500740,"Canis latrans Say, 1823",33.19,-116.32,4,9,2020
2862499663,"Canis latrans Say, 1823",41.791269,-87.610743,4,9,2020
2862498713,"Canis latrans Say, 1823",37.551201,-119.842769,30,8,2020
2862497137,"Canis latrans Say, 1823",30.04498,-95.221368,2,6,2020
2862485775,"Canis latrans Say, 1823",34.178898,-118.606754,5,9,2020
2862482585,"Canis latrans Say, 1823",41.984925,-87.707308,3,9,2020
2862480399,"Canis latrans Say, 1823",41.373175,-72.628841,10,9,2020
2862480349,"Canis latrans Say, 1823",34.074806,-118.416292,9,9,2020
2862470501,"Canis latrans Say, 1823",34.016081,-118.339628,10,9,2020
2862467366,"Canis latrans Say, 1823",33.159564,-96.812788,7,9,2020
2862463117,"Canis latrans Say, 1823",34.136732,-118.606046,26,8,2020
2862453531,"Canis latrans Say, 1823",34.174515,-118.306019,10,9,2020
2862451944,"Canis latrans Say, 1823",32.955676,-96.696021,6,9,2020
2862448150,"Canis latrans Say, 1823",32.868992,-117.178903,7,9,2020
2862447553,"Canis latrans Say, 1823",42.438137,-89.207714,3,9,2020
2862434427,"Canis latrans Say, 1823",34.081272,-117.564238,9,9,2020
2862404490,"Canis latrans Say, 1823",39.547538,-119.82316,10,9,2020
2862404483,"Canis latrans Say, 1823",44.515918,-73.238222,5,9,2020
2862397411,"Canis latrans Say, 1823",34.299776,-118.305531,10,9,2020
2862375766,"Canis latrans Say, 1823",44.344026,-111.456931,5,9,2020
2862372930,"Canis latrans Say, 1823",33.19,-116.32,5,9,2020
2862371798,"Canis latrans Say, 1823",44.910842,-110.371121,8,9,2019
2862368698,"Canis latrans Say, 1823",34.058625,-118.359445,5,9,2020
2862362646,"Canis latrans Say, 1823",33.5564,-111.610758,4,9,2020
