gbifID,species,decimalLatitude,decimalLongitude,day,month,year,rain,temp,soil_temp,optical_thickness,transmission_percent
2862666313,Lepus californicus,35.10926,-120.62854,10,7,2020,0,24.8,19,0.077270456,92.56394745
2862325554,Lepus californicus,35.674018,-120.797397,23,5,2020,0.6,21.2,12.6,0.082793706,92.05410301
2862312540,Lepus americanus,44.726235,-110.704281,20,7,2010,74.2,19.4,19,0.1385,87.06632513
2860176317,Lepus californicus,41.057139,-112.247901,28,7,2018,33.9,23.5,22.8,0.22358882,79.96438645
2860149340,Lepus alleni,32.296736,-111.166615,7,5,2011,148.2,14.7,21.9,0.4199,65.71125278
2860142327,Lepus californicus,42.136279,-119.840831,21,5,2019,37.9,15,10.6,0.120591814,88.63956999
2860063329,Lepus americanus,46.318135,-85.17077,9,2,2019,5.4,-11.3,4.2,0.156214126,85.53760125
2859928664,Lepus californicus,35.778902,-115.892111,15,5,2020,0,27.2,12.6,0.082793706,92.05410301
2856772417,Lepus californicus,30.272213,-98.418027,5,7,2014,61.1,26.8,25.1,-0.1568,101
2856771355,Lepus americanus,44.970907,-68.768077,8,2,2020,31.8,-0.8,6.4,0.313141273,73.11466141
2856769440,Lepus californicus,29.670633,-98.706912,17,4,2019,54.4,18.4,15.9,0.158018687,85.38338262
2856767356,Lepus californicus,33.722127,-111.815916,17,4,2020,5.3,20.7,15.1,0.097743011,90.68819325
2856759334,Lepus californicus,31.467223,-110.275635,5,8,2019,0,30.6,27.1,0.112456524,89.36361983
2856751412,Lepus californicus,37.586453,-122.326522,18,6,2020,0,23.3,16.9,0.077960419,92.50010382
2856751384,Lepus californicus,38.039656,-104.971802,22,5,2020,44,15.6,19.4,0.072046733,93.04874105
2856750378,Lepus californicus,36.082742,-115.557533,16,5,2020,0,27.2,12.6,0.082793706,92.05410301
2856747403,Lepus californicus,32.232815,-109.827892,20,6,2020,6.5,28.4,24.1,0.212363028,80.86710743
2856747308,Lepus americanus,44.934601,-70.509062,7,6,2018,38.8,18.2,20.3,0.0492,95.19907125
2856740402,Lepus californicus,30.587805,-103.621667,18,6,2020,6.5,28.4,24.1,0.212363028,80.86710743
2856740132,Lepus americanus,63.846876,-149.016025,28,8,2018,0,21.5,20,0.44256807,64.23846126
2856740115,Lepus californicus,32.658744,-117.154642,4,8,2019,0,25.9,20.2,0.205045731,81.46100625
2856732359,Lepus californicus,38.875333,-104.63857,24,4,2020,4.8,8.7,15.1,0.094700984,90.96448924
2856729403,Lepus californicus,30.11515,-98.802322,21,6,2020,7.5,26.9,24.1,0.212363028,80.86710743
