,gbifID,scientificName,decimalLatitude,decimalLongitude,day,month,year,rain,temp,soil_temp,optical_thickness,transmission_percent
1,2862658329,"Canis latrans Say, 1823",25.965225,-97.257489,12,8,2019,170.9,29.1,27.1,0.112456524,89.36361983
3,2862630361,"Canis latrans Say, 1823",32.710595,-99.73037099999999,13,11,2019,4.4,12.2,9.4,0.2062,81.36703259
5,2862625324,"Canis latrans Say, 1823",37.949791999999995,-121.91723700000001,22,2,2019,157.7,9.3,-1.9,0.112655539,89.34583690000001
6,2862571831,"Canis latrans Say, 1823",49.001145,-122.57551699999999,12,8,2018,0.0,21.5,20.0,0.44256807,64.23846126
13,2862554670,"Canis latrans Say, 1823",34.178231,-118.506592,9,6,2019,1.8,20.8,16.6,0.070019758,93.23753979
24,2862519525,"Canis latrans Say, 1823",41.30236,-73.05094799999999,30,7,2020,150.2,25.9,27.0,0.122710005,88.45201318
25,2862518691,"Canis latrans Say, 1823",44.647628999999995,-110.48340400000001,14,9,2007,110.0,20.8,20.6,0.0761,92.67235296
29,2862512573,"Canis latrans Say, 1823",26.692752000000002,-81.866287,21,8,2006,28.9,30.7,29.6,0.2699,76.34558361
32,2862502125,"Canis latrans Say, 1823",42.274899,-122.939475,21,7,2020,2.3,23.8,19.0,0.077270456,92.56394745
36,2862497137,"Canis latrans Say, 1823",30.04498,-95.221368,2,6,2020,174.6,26.6,24.1,0.212363028,80.86710743
54,2862371798,"Canis latrans Say, 1823",44.910841999999995,-110.371121,8,9,2019,37.1,19.9,27.1,0.160055485,85.20965091
58,2862356554,"Canis latrans Say, 1823",44.955201,-110.53394399999999,18,7,2010,74.2,19.4,19.0,0.1385,87.06632513
59,2862352225,"Canis latrans Say, 1823",34.446196,-119.29408600000001,21,6,2019,1.8,20.8,16.6,0.070019758,93.23753979
61,2862345941,"Canis latrans Say, 1823",47.751563,-122.29970800000001,28,10,2012,40.5,12.5,17.8,0.1979,82.04518942
70,2862306107,"Canis latrans Say, 1823",46.699689,-100.775411,22,4,2020,12.3,4.6,13.5,0.09774301099999999,90.68819325
78,2860286446,"Canis latrans Say, 1823",35.809005,-78.67865,17,4,2018,69.0,16.0,10.4,0.084235601,91.92146623
84,2860229382,"Canis latrans Say, 1823",43.601651000000004,-103.42634,11,7,2018,33.9,21.5,22.8,0.22358882,79.96438645
106,2860099224,"Canis latrans Say, 1823",40.782408000000004,-74.71485799999999,19,9,2019,9.5,19.9,21.6,0.130519781,87.76391322
107,2860097434,"Canis latrans Say, 1823",47.373670000000004,-122.570342,4,6,2020,38.7,16.6,16.9,0.077960419,92.50010382
118,2859983711,"Canis latrans Say, 1823",36.131701,-120.722128,1,3,2020,34.6,12.9,12.7,0.153845794,85.74042274
119,2859976113,"Canis latrans Say, 1823",32.309587,-84.739228,26,11,2019,67.4,9.9,7.6,0.064132861,93.78803831
120,2859974634,"Canis latrans Say, 1823",44.060464,-72.422542,10,7,2020,3.8,23.7,27.0,0.122710005,88.45201318
139,2859914740,"Canis latrans Say, 1823",33.907253999999995,-84.372106,25,4,2020,48.0,14.2,13.5,0.158196756,85.36817987
