latitude,longitude,measured_on,optical thickness,transmission percent
36.290455,-93.296115,30-07-2020,0.09813067,90.65304401
36.290455,-93.296115,30-07-2020,0.09213361,91.19832916
45.81672,-118.49085,27-07-2020,0.077270456,92.56394745
45.81672,-118.49085,24-07-2020,0.085095586,91.84244918
45.81672,-118.49085,21-07-2020,0.098234948,90.64359133
36.323437,-93.258022,19-07-2020,0.122710005,88.45201318
36.290455,-93.296115,19-07-2020,0.128323798,87.95685305
36.290455,-93.296115,19-07-2020,0.128662234,87.92709036
45.81672,-118.49085,19-07-2020,0.102739886,90.236166
36.323437,-93.258022,19-07-2020,0.119314207,88.75288893
45.81672,-118.49085,18-07-2020,0.063354991,93.8610216
45.81672,-118.49085,17-07-2020,0.078497431,92.45044348
45.81672,-118.49085,16-07-2020,0.076604934,92.62557139
36.323437,-93.258022,15-07-2020,0.372017637,68.93420842
36.323437,-93.258022,15-07-2020,0.403038202,66.82865689
36.290455,-93.296115,15-07-2020,0.24896274,77.96090211
36.290455,-93.296115,15-07-2020,0.256848232,77.34855954
36.323437,-93.258022,14-07-2020,0.220510484,80.21092298
36.290455,-93.296115,14-07-2020,0.206218494,81.36552781
36.290455,-93.296115,14-07-2020,0.199021409,81.95323476
36.323437,-93.258022,14-07-2020,0.210767145,80.99626491
36.323437,-93.258022,12-07-2020,0.07964905,92.34403713
36.323437,-93.258022,12-07-2020,0.077552936,92.53780376
36.290455,-93.296115,12-07-2020,0.093933874,91.03429573
36.290455,-93.296115,12-07-2020,0.08549707,91.80558332
36.323437,-93.258022,11-07-2020,0.263792482,76.81329244
36.290455,-93.296115,11-07-2020,0.197883599,82.04653509
36.290455,-93.296115,11-07-2020,0.205835694,81.39668048
36.323437,-93.258022,11-07-2020,0.167742458,84.55715767
45.81672,-118.49085,11-07-2020,0.092261803,91.18663886
45.81672,-118.49085,10-07-2020,0.090810182,91.31910345
45.81672,-118.49085,09-07-2020,0.123482734,88.38369018
36.323437,-93.258022,08-07-2020,0.142505438,86.7182839
36.323437,-93.258022,08-07-2020,0.128423515,87.94808269
36.290455,-93.296115,08-07-2020,0.139010198,87.02191541
36.290455,-93.296115,08-07-2020,0.142467501,86.72157372
45.81672,-118.49085,08-07-2020,0.084997588,91.85145002
36.290455,-93.296115,07-07-2020,0.170008005,84.36580634
36.290455,-93.296115,07-07-2020,0.18100105,83.44344824
45.81672,-118.49085,07-07-2020,0.086683671,91.69671127
36.323437,-93.258022,06-07-2020,0.152433203,85.86162446
36.323437,-93.258022,06-07-2020,0.154697738,85.66740783
36.290455,-93.296115,06-07-2020,0.146042241,86.41212007
45.81672,-118.49085,06-07-2020,0.103430781,90.17384378
36.290455,-93.296115,06-07-2020,0.150768203,86.00470316
36.290455,-93.296115,05-07-2020,0.320376439,72.58757379
36.290455,-93.296115,05-07-2020,0.287262897,75.03144474
36.323437,-93.258022,05-07-2020,0.236891934,78.90765555
45.81672,-118.49085,05-07-2020,0.118221232,88.84994659
36.323437,-93.258022,05-07-2020,0.238688909,78.76598785
45.81672,-118.49085,04-07-2020,0.105480816,89.98917361
36.323437,-93.258022,03-07-2020,0.258296051,77.23665383
36.323437,-93.258022,03-07-2020,0.268945506,76.4184898
36.290455,-93.296115,03-07-2020,0.246069216,78.18681051
36.290455,-93.296115,03-07-2020,0.24113576,78.57349481
45.81672,-118.49085,03-07-2020,0.169164012,84.43704054
45.81672,-118.49085,03-07-2020,0.171983952,84.19926857
36.323437,-93.258022,02-07-2020,0.378705701,68.47471033
36.323437,-93.258022,02-07-2020,0.35517918,70.10478179
