latitude,longitude,measured_on,number of days reported,precipitation monthlies
32.1696,-110.4378,01-02-2004,29,18.3
32.1696,-110.4378,01-02-2005,28,17
36.290455,-93.296115,01-12-2017,31,51.1
36.290455,-93.296115,01-10-2018,31,98.5
36.290455,-93.296115,01-11-2018,30,78.8
36.290455,-93.296115,01-12-2019,31,42.8
36.290455,-93.296115,01-08-2020,31,76.1
36.093093,-93.303578,01-12-2017,31,47.3
36.323437,-93.258022,01-12-2018,31,184.6
36.323437,-93.258022,01-12-2019,31,35.6
36.323437,-93.258022,01-06-2020,30,68.4
36.323437,-93.258022,01-08-2020,31,77
40.782065,-73.974326,01-01-2017,31,86.4
40.782065,-73.974326,01-02-2017,28,25
40.782065,-73.974326,01-04-2017,30,100.4
40.782065,-73.974326,01-05-2017,31,135.4
40.782065,-73.974326,01-06-2017,30,88.8
40.782065,-73.974326,01-07-2017,31,77.4
40.782065,-73.974326,01-08-2017,31,60.6
40.782065,-73.974326,01-09-2017,30,39.2
40.782065,-73.974326,01-10-2017,31,91.8
40.782065,-73.974326,01-11-2017,30,27.6
40.782065,-73.974326,01-12-2017,31,38.2
40.782065,-73.974326,01-01-2018,31,25.4
40.782065,-73.974326,01-02-2018,28,121
40.782065,-73.974326,01-04-2018,30,74.4
40.782065,-73.974326,01-05-2018,31,57.2
40.782065,-73.974326,01-06-2018,30,51.4
40.782065,-73.974326,01-07-2018,31,126.2
40.782065,-73.974326,01-08-2018,31,126
40.782065,-73.974326,01-09-2018,30,53.2
40.782065,-73.974326,01-10-2018,31,47.8
40.782065,-73.974326,01-11-2018,30,110.6
40.782065,-73.974326,01-02-2019,28,44.6
40.782065,-73.974326,01-03-2019,31,51
40.782065,-73.974326,01-04-2019,30,75.4
40.782065,-73.974326,01-02-2020,29,39
40.782065,-73.974326,01-03-2020,31,65.6
40.782065,-73.974326,01-04-2020,30,55.8
40.782065,-73.974326,01-05-2020,31,41.4
40.782065,-73.974326,01-06-2020,30,30.8
40.782065,-73.974326,01-07-2020,31,150.2
40.782065,-73.974326,01-08-2020,31,58
40.7537,-81.3733,01-11-2000,30,166.5
41.817019,-71.464781,01-02-2018,28,143
41.817019,-71.464781,01-04-2018,30,147.4
41.817019,-71.464781,01-05-2018,31,47.4
41.817019,-71.464781,01-07-2018,31,63
41.817019,-71.464781,01-08-2018,31,136.4
41.817019,-71.464781,01-09-2018,30,208.2
41.817019,-71.464781,01-10-2018,31,130
41.817019,-71.464781,01-01-2019,31,138.6
41.817019,-71.464781,01-02-2019,28,70.2
41.817019,-71.464781,01-03-2019,31,58.6
41.817019,-71.464781,01-04-2019,30,147.4
41.817019,-71.464781,01-05-2019,31,77.2
41.817019,-71.464781,01-06-2019,30,77.2
41.817019,-71.464781,01-09-2019,30,57.6
41.817019,-71.464781,01-12-2019,31,126
41.817019,-71.464781,01-01-2020,31,33.2
41.817019,-71.464781,01-03-2020,31,70.6
41.817019,-71.464781,01-04-2020,30,134.2
41.817019,-71.464781,01-05-2020,31,54.4
41.817019,-71.464781,01-06-2020,30,35
41.817019,-71.464781,01-07-2020,31,33.4
41.817019,-71.464781,01-08-2020,31,34.2
32.2449,-111.1753,01-06-2001,30,12.8
32.2449,-111.1753,01-12-2003,31,0.4
32.2449,-111.1753,01-04-2004,30,25.2
38.8708,-77.1013,01-11-2001,30,24.3
34.36258,-86.142,01-02-2009,28,76.1
34.36258,-86.142,01-09-2009,30,76.2
34.36258,-86.142,01-09-2011,30,133
34.36258,-86.142,01-11-2011,30,108
34.47649,-86.59782,01-02-2015,28,62.2
34.47649,-86.59782,01-04-2015,30,94.8
34.47649,-86.59782,01-01-2016,31,91.2
34.47649,-86.59782,01-06-2017,30,161.4
34.47649,-86.59782,01-12-2017,31,130.2
30.6663,-88.1712,01-05-2000,31,81.2
30.6663,-88.1712,01-06-2000,30,196.3
30.6663,-88.1712,01-07-2000,31,149.3
30.6663,-88.1712,01-12-2000,31,92.9
30.6663,-88.1712,01-01-2001,31,93.8
30.6663,-88.1712,01-02-2001,28,57.6
35.4176,-77.4291,01-11-2000,30,75.1
34.5992,-86.98441,01-11-2007,30,315
30.322629,-89.347246,01-02-2018,28,633.7
39.9799,-78.5315,01-12-2000,31,114.4
39.9799,-78.5315,01-02-2001,28,211.8
37.08904,-76.4223,01-08-2008,31,3371.7
34.2137,-86.1615,01-04-2002,30,45
34.7201,-86.7427,01-11-2001,30,33.4
40.8606,-81.4613,01-08-2011,31,156.4
40.8606,-81.4613,01-09-2011,30,84.2
40.8606,-81.4613,01-10-2011,31,128.6
40.8606,-81.4613,01-12-2011,31,153.8
40.8606,-81.4613,01-03-2012,31,58
40.8606,-81.4613,01-04-2012,30,36.4
40.8606,-81.4613,01-06-2012,30,30.8
40.8606,-81.4613,01-08-2012,31,59
40.8606,-81.4613,01-05-2013,31,21.5
35.142,-93.9053,01-01-2001,31,101.2
35.142,-93.9053,01-11-2001,30,59.4
35.142,-93.9053,01-09-2003,30,48.8
42.349716,-71.100819,01-10-2017,31,121.4
42.351403,-71.10469,01-04-2018,30,111.2
42.351403,-71.10469,01-05-2018,31,48.6
42.351403,-71.10469,01-06-2018,30,76.2
42.351403,-71.10469,01-07-2018,31,85.8
42.351403,-71.10469,01-11-2018,30,192.2
42.351403,-71.10469,01-01-2019,31,76.2
42.351403,-71.10469,01-05-2019,31,71
42.351403,-71.10469,01-07-2019,31,92.2
42.351403,-71.10469,01-08-2019,31,83
42.351403,-71.10469,01-09-2019,30,43.8
42.351403,-71.10469,01-10-2019,31,97.8
42.351403,-71.10469,01-02-2020,29,61
42.351403,-71.10469,01-03-2020,31,66.6
42.351403,-71.10469,01-04-2020,30,97.4
42.351403,-71.10469,01-07-2020,31,28.8
42.351403,-71.10469,01-08-2020,31,33
38.9595,-76.7377,01-12-2001,31,43.8
48.5538,-113.0147,01-11-2001,30,1.4
48.5538,-113.0147,01-01-2002,31,18.8
48.5538,-113.0147,01-10-2002,31,18.6
48.5538,-113.0147,01-02-2003,28,19.9
48.5538,-113.0147,01-03-2003,31,66.4
48.5538,-113.0147,01-09-2003,30,13.1
48.5538,-113.0147,01-02-2005,28,6.6
48.5538,-113.0147,01-02-2007,28,29.1
48.5538,-113.0147,01-04-2007,30,19.8
29.9815,-90.088,01-03-2004,31,62
34.1248,-117.7493,01-10-2015,31,36.6
34.1248,-117.7493,01-01-2016,31,101.7
34.1248,-117.7493,01-10-2016,31,13.4
34.1248,-117.7493,01-09-2017,30,3.5
34.1248,-117.7493,01-10-2017,31,1
34.1248,-117.7493,01-12-2017,31,0
34.1248,-117.7493,01-01-2018,31,19.8
34.1248,-117.7493,01-02-2018,28,15.5
34.1248,-117.7493,01-04-2018,30,1
34.1248,-117.7493,01-05-2018,31,12.3
34.1248,-117.7493,01-06-2018,30,0.3
34.1248,-117.7493,01-07-2018,31,1.8
34.1248,-117.7493,01-08-2018,31,0
34.1248,-117.7493,01-09-2018,30,0
34.1248,-117.7493,01-10-2018,31,27.1
34.1248,-117.7493,01-11-2018,30,58.6
34.1248,-117.7493,01-01-2019,31,145
34.1248,-117.7493,01-02-2019,28,157.7
34.1248,-117.7493,01-03-2019,31,76.5
34.1248,-117.7493,01-04-2019,30,3.3
34.1248,-117.7493,01-05-2019,31,47.1
34.1248,-117.7493,01-06-2019,30,1.8
34.1248,-117.7493,01-07-2019,31,0
34.1248,-117.7493,01-08-2019,31,0
34.1248,-117.7493,01-10-2019,31,0
34.1248,-117.7493,01-12-2019,31,152.4
34.1248,-117.7493,01-02-2020,29,10.7
