latitude,longitude,measured_on,depth level (cm),maximum temp (deg C),minimum temp (deg C),average temp (deg C)
32.1696,-110.4378,01-01-2003,10,20.9,5.4,13.9
32.1696,-110.4378,01-02-2003,10,22.1,7.7,14
32.1696,-110.4378,01-03-2003,10,27,8,17.3
32.1696,-110.4378,01-05-2003,10,40.2,21.6,30.7
32.1696,-110.4378,01-06-2003,10,42.1,29.4,35.5
32.1696,-110.4378,01-07-2003,10,43.8,30.3,36.9
32.1696,-110.4378,01-08-2003,10,42.8,27.3,35
32.1696,-110.4378,01-09-2003,10,41.2,23.6,32.7
32.1696,-110.4378,01-10-2003,10,36.8,18.5,27.6
32.1696,-110.4378,01-11-2003,10,27.4,7.7,17
32.1696,-110.4378,01-12-2003,10,20.7,2.4,12.3
32.1696,-110.4378,01-01-2004,10,20.1,5.3,12.6
32.1696,-110.4378,01-02-2004,10,21.8,5.3,12.7
32.1696,-110.4378,01-03-2004,10,32.7,7.4,20.7
32.1696,-110.4378,01-04-2004,10,33.8,13.2,24.5
32.1696,-110.4378,01-05-2004,10,37.5,22.2,31
32.1696,-110.4378,01-06-2004,10,41.4,28.1,35.2
32.1696,-110.4378,01-07-2004,10,43.9,28.4,36
32.1696,-110.4378,01-08-2004,10,42.8,27.4,35
32.1696,-110.4378,01-09-2004,10,41.4,21.5,32.6
32.1696,-110.4378,01-10-2004,10,33.9,14.1,25.2
32.1696,-110.4378,01-11-2004,10,23.5,5,15.9
32.1696,-110.4378,01-12-2004,10,17.6,4.4,11.4
32.1696,-110.4378,01-01-2005,10,20.3,5.7,12.6
32.1696,-110.4378,01-02-2005,10,20.7,8.3,14.6
32.1696,-110.4378,01-03-2005,10,26.8,12.3,19.7
32.1696,-110.4378,01-04-2005,10,32.8,16.3,25
32.1696,-110.4378,01-05-2005,10,40.3,20.8,30.6
32.1696,-110.4378,01-06-2005,10,43.4,27.2,35.7
32.1696,-110.4378,01-08-2005,10,41.8,19.2,29.1
36.290455,-93.296115,01-12-2017,10,24.7,2.1,8.5
36.290455,-93.296115,01-10-2018,10,21.5,13,17.2
36.290455,-93.296115,01-11-2018,10,16.1,4.1,9.6
36.290455,-93.296115,01-12-2018,10,12.6,3.6,7.5
36.290455,-93.296115,01-01-2019,10,12.6,2.4,6
36.290455,-93.296115,01-02-2019,10,13.7,3.1,7.3
36.290455,-93.296115,01-03-2019,10,15.5,2.1,9
36.290455,-93.296115,01-04-2019,10,22.4,7.8,15.9
36.290455,-93.296115,01-05-2019,10,31,13.9,22.5
36.290455,-93.296115,01-07-2019,10,38.5,24.4,27.5
36.290455,-93.296115,01-08-2019,10,29.9,23.2,27.1
36.290455,-93.296115,01-09-2019,10,30.7,22.6,27.1
36.290455,-93.296115,01-10-2019,10,28.1,7.3,17.1
36.290455,-93.296115,01-11-2019,10,14.9,3.6,9.4
36.290455,-93.296115,01-12-2019,10,13.9,3,7.5
36.290455,-93.296115,01-01-2020,10,13.5,2.7,6.5
36.290455,-93.296115,01-02-2020,10,12.8,2.7,7.2
36.290455,-93.296115,01-03-2020,10,20.9,6.5,12.7
36.290455,-93.296115,01-04-2020,10,22.5,9.1,15.1
36.290455,-93.296115,01-05-2020,10,26.5,12.7,19.4
36.290455,-93.296115,01-07-2020,10,36.4,25.4,30.7
36.290455,-93.296115,01-08-2020,10,34.2,22.9,28.7
36.093093,-93.303578,01-12-2017,10,12.3,0.3,6
36.323437,-93.258022,01-11-2018,10,15.8,2.2,8.4
36.323437,-93.258022,01-12-2018,10,11.8,0.4,5.7
36.323437,-93.258022,01-03-2019,10,14.7,-0.8,7
36.323437,-93.258022,01-04-2019,10,20.8,5.3,14.5
36.323437,-93.258022,01-06-2019,10,30.4,20.8,24.5
36.323437,-93.258022,01-08-2019,10,26.9,22.2,24.7
36.323437,-93.258022,01-09-2019,10,26.7,21.3,24.3
36.323437,-93.258022,01-10-2019,10,24.6,7.1,16.1
36.323437,-93.258022,01-11-2019,10,12.6,1.9,7.6
36.323437,-93.258022,01-12-2019,10,10.9,1.7,6
36.323437,-93.258022,01-02-2020,10,10,0.3,4.8
36.323437,-93.258022,01-03-2020,10,19.6,5.4,10.5
36.323437,-93.258022,01-04-2020,10,19.4,8.3,13.5
36.323437,-93.258022,01-05-2020,10,22.7,11.6,17.8
36.323437,-93.258022,01-06-2020,10,26.9,19.6,24.1
36.323437,-93.258022,01-07-2020,10,29.5,24.2,27
36.323437,-93.258022,01-08-2020,10,28.1,22,25
41.2714,-94.4612,01-05-2002,10,19.9,8.9,13.6
39.0769,-76.607889,01-07-2018,10,38.2,16.3,29
39.0769,-76.607889,01-08-2018,10,33.1,21.3,27.5
41.4277,-94.5523,01-09-2007,10,25.6,12.2,18.7
41.4277,-94.5523,01-10-2007,10,22.5,-2.2,13.1
41.4277,-94.5523,01-11-2007,10,15.5,-9.7,4.3
41.4277,-94.5523,01-09-2008,10,23.4,13.2,18
41.4277,-94.5523,01-10-2008,10,18.2,-0.8,8.9
41.382072,-83.637059,01-02-2007,10,-3.2,-12,-6.5
41.382072,-83.637059,01-03-2007,10,14.3,-4.2,3.4
41.382072,-83.637059,01-04-2007,10,18.2,-1,6.7
29.9815,-90.088,01-11-2012,10,29.9,4.1,17.9
33.10719,-86.74942,01-03-2007,10,16.4,7.7,11.6
33.10719,-86.74942,01-09-2007,10,26.2,21.5,23.9
33.10765,-86.74972,01-10-2009,10,25.4,12.3,18.6
35.17304,-79.39745,01-09-2006,10,27.2,19.2,23.5
35.17304,-79.39745,01-10-2006,10,23.9,13.2,19.3
61.1633,-149.7761,01-01-2003,10,-44,-49,-45.7
61.1633,-149.7761,01-03-2003,10,-20.4,-32.5,-23.7
61.1633,-149.7761,01-06-2003,10,1.5,-10.2,-4.5
61.1633,-149.7761,01-08-2005,10,25.8,11.1,16.9
61.1633,-149.7761,01-09-2005,10,16.7,7.1,11.8
31.9193,-106.611,01-10-2002,10,31.5,9.2,18.8
31.4778,-110.2814,01-07-2003,10,47.2,21.1,32.2
31.4778,-110.2814,01-08-2003,10,40.1,13.2,27.4
31.4778,-110.2814,01-10-2003,10,34.2,12.7,21.3
31.4778,-110.2814,01-11-2003,10,23.6,1.6,12.8
31.4778,-110.2814,01-01-2004,10,14.1,1.9,7.6
31.4778,-110.2814,01-02-2004,10,18.3,0.8,7.8
31.4778,-110.2814,01-03-2004,10,23.5,3.5,14.3
31.4778,-110.2814,01-04-2004,10,26.3,2.7,16.5
31.4778,-110.2814,01-05-2004,10,41.8,15.6,27.9
31.4778,-110.2814,01-06-2004,10,44.3,18.9,29.7
31.4778,-110.2814,01-08-2004,10,43.2,21.3,30.5
31.4778,-110.2814,01-10-2004,10,43.9,28.8,37.5
31.4778,-110.2814,01-11-2004,10,36.5,19.5,29.4
31.4778,-110.2814,01-05-2005,10,31.8,13.2,23.5
40.5869,-105.1469,01-09-2003,10,26.6,11.2,18.9
